id	isInvasive	habitat
150000	Null	Freshwater
150001	Null	Terrestrial
150002	Null	Terrestrial
150003	Null	Host
150004	Null	Terrestrial
150005	Null	Terrestrial
150006	Invasive	Terrestrial
150007	Invasive	Terrestrial
150008	Null	Terrestrial
150009	Invasive	Terrestrial
150010	Invasive	Terrestrial
150011	Invasive	Terrestrial
150012	Null	Terrestrial
150013	Null	Terrestrial
150014	Null	Terrestrial
150015	Null	Marine
150016	Null	Terrestrial
150017	Null	Terrestrial
150018	Null	Terrestrial
150019	Null	Terrestrial
150020	Null	Terrestrial
150021	Null	Host
150022	Null	Host
150023	Null	Host
150024	Null	Host
150025	Invasive	Terrestrial
150026	Invasive	Freshwater
150027	Invasive	Freshwater|Brackish
150028	Invasive	Freshwater
150029	Invasive	Freshwater
150030	Invasive	Freshwater
150031	Invasive	Freshwater
150032	Null	Terrestrial
150033	Null	Terrestrial
150034	Null	Terrestrial
150035	Null	Terrestrial
150036	Null	Terrestrial
150037	Null	Terrestrial
150038	Null	Terrestrial
150039	Null	Terrestrial
150040	Null	Terrestrial
150041	Null	Terrestrial
150042	Null	Terrestrial|Freshwater
150043	Null	Terrestrial
150044	Invasive	Terrestrial
150045	Invasive	Host
150046	Null	Host
150047	Null	Host
150048	Null	Host
150049	Null	Host
150050	Null	Terrestrial
150051	Null	Terrestrial
150052	Null	Terrestrial
150053	Invasive	Terrestrial|Freshwater
150054	Null	Terrestrial|Freshwater
150055	Null	Terrestrial
150056	Null	Terrestrial
150057	Null	Terrestrial
150058	Null	Terrestrial
150059	Null	Terrestrial
150060	Null	Terrestrial
150061	Invasive	Terrestrial
150062	Invasive	Terrestrial
150063	Invasive	Terrestrial
150064	Invasive	Terrestrial
150065	Null	Terrestrial
150066	Invasive	Host
150067	Null	Terrestrial
150068	Null	Terrestrial
150069	Null	Terrestrial
150070	Null	Terrestrial
150071	Invasive	Terrestrial
150072	Invasive	Terrestrial
150073	Null	Terrestrial
150074	Null	Terrestrial
150075	Null	Terrestrial
150076	Null	Terrestrial
150077	Invasive	Terrestrial
150078	Null	Terrestrial
150079	Null	Terrestrial
150080	Null	Terrestrial|Freshwater
150081	Null	Terrestrial
150082	Null	Terrestrial
150083	Null	Terrestrial
150084	Null	Terrestrial
150085	Null	Terrestrial
150086	Null	Terrestrial
150087	Null	Terrestrial
150088	Null	Terrestrial
150089	Null	Terrestrial
150090	Null	Terrestrial
150091	Null	Host
150092	Null	Terrestrial
150093	Null	Terrestrial
150094	Null	Terrestrial
150095	Null	Terrestrial
150096	Null	Terrestrial
150097	Null	Terrestrial
150098	Null	Terrestrial
150099	Null	Terrestrial
150100	Null	Terrestrial|Freshwater
150101	Null	Terrestrial
150102	Null	Terrestrial
150103	Null	Terrestrial
150104	Null	Terrestrial
150105	Invasive	Terrestrial
150106	Invasive	Terrestrial|Freshwater
150107	Null	Terrestrial
150108	Null	Terrestrial|Freshwater
150109	Null	Terrestrial
150110	Null	Terrestrial
150111	Null	Terrestrial
150112	Null	Terrestrial
150113	Null	Terrestrial
150114	Null	Terrestrial
150115	Null	Terrestrial
150116	Null	Terrestrial
150117	Null	Terrestrial
150118	Null	Terrestrial
150119	Null	Terrestrial
150120	Null	Terrestrial
150121	Null	Terrestrial
150122	Null	Terrestrial
150123	Null	Terrestrial
150124	Null	Terrestrial
150125	Null	Terrestrial
150126	Null	Terrestrial
150127	Invasive	Terrestrial
150128	Invasive	Terrestrial
150129	Null	Terrestrial
150130	Null	Terrestrial
150131	Null	Terrestrial
150132	Null	Freshwater
150133	Invasive	Terrestrial
150134	Null	Terrestrial
150135	Invasive	Terrestrial
150136	Null	Terrestrial
150137	Null	Terrestrial
150138	Null	Terrestrial
150139	Invasive	Terrestrial
150140	Null	Terrestrial
150141	Invasive	Terrestrial
150142	Invasive	Terrestrial
150143	Null	Terrestrial
150144	Invasive	Marine
150145	Invasive	Brackish|Marine
150146	Invasive	Brackish|Marine
150147	Null	Marine
150148	Null	Brackish|Marine
150149	Invasive	Terrestrial
150150	Invasive	Terrestrial
150151	Null	Terrestrial
150152	Null	Terrestrial
150153	Null	Terrestrial
150154	Null	Terrestrial
150155	Null	Terrestrial
150156	Null	Terrestrial
150157	Null	Terrestrial
150158	Null	Host
150159	Invasive	Freshwater
150160	Invasive	Terrestrial
150161	Null	Terrestrial
150162	Null	Terrestrial
150163	Null	Host
150164	Null	Terrestrial
150165	Null	Terrestrial
150166	Null	Freshwater
150167	Invasive	Terrestrial
150168	Null	Terrestrial
150169	Null	Terrestrial
150170	Null	Terrestrial
150171	Null	Terrestrial
150172	Null	Terrestrial
150173	Null	Terrestrial
150174	Null	Terrestrial
150175	Null	Terrestrial
150176	Invasive	Terrestrial
150177	Null	Terrestrial
150178	Null	Terrestrial
150179	Null	Terrestrial
150180	Null	Terrestrial
150181	Null	Terrestrial
150182	Null	Host
150183	Null	Host
150184	Null	Host
150185	Null	Host
150186	Null	Terrestrial
150187	Null	Terrestrial
150188	Null	Terrestrial
150189	Null	Terrestrial
150190	Null	Host
150191	Null	Host
150192	Null	Host
150193	Null	Host
150194	Null	Host
150195	Null	Host
150196	Null	Host
150197	Null	Host
150198	Null	Terrestrial
150199	Null	Terrestrial
150200	Null	Terrestrial
150201	Null	Terrestrial
150202	Null	Terrestrial
150203	Null	Host
150204	Null	Terrestrial
150205	Null	Terrestrial
150206	Null	Terrestrial
150207	Null	Terrestrial
150208	Null	Terrestrial
150209	Null	Terrestrial
150210	Invasive	Terrestrial
150211	Invasive	Terrestrial
150212	Null	Terrestrial
150213	Null	Terrestrial
150214	Null	Terrestrial
150215	Null	Terrestrial
150216	Null	Terrestrial
150217	Null	Terrestrial
150218	Null	Terrestrial
150219	Null	Terrestrial
150220	Null	Terrestrial
150221	Null	Terrestrial
150222	Invasive	Terrestrial
150223	Null	Terrestrial
150224	Null	Terrestrial
150225	Null	Freshwater
150226	Null	Freshwater
150227	Null	Terrestrial
150228	Null	Terrestrial
150229	Null	Terrestrial
150230	Null	Terrestrial
150231	Null	Terrestrial
150232	Invasive	Terrestrial
150233	Null	Terrestrial
150234	Null	Terrestrial
150235	Null	Terrestrial
150236	Invasive	Terrestrial
150237	Null	Terrestrial
150238	Null	Terrestrial
150239	Invasive	Marine
150240	Null	Terrestrial
150241	Null	Terrestrial
150242	Null	Terrestrial
150243	Null	Terrestrial
150244	Null	Host
150245	Null	Host
150246	Invasive	Terrestrial
150247	Null	Terrestrial
150248	Null	Terrestrial
150249	Invasive	Terrestrial
150250	Null	Terrestrial
150251	Null	Terrestrial
150252	Null	Terrestrial
150253	Null	Terrestrial
150254	Null	Terrestrial
150255	Null	Host
150256	Null	Terrestrial
150257	Null	Terrestrial
150258	Null	Terrestrial
150259	Invasive	Terrestrial
150260	Null	Terrestrial
150261	Null	Terrestrial
150262	Null	Terrestrial
150263	Null	Terrestrial
150264	Null	Terrestrial
150265	Null	Terrestrial
150266	Null	Terrestrial
150267	Null	Freshwater
150268	Invasive	Freshwater
150269	Null	Terrestrial
150270	Invasive	Terrestrial
150271	Invasive	Terrestrial
150272	Invasive	Terrestrial
150273	Null	Terrestrial
150274	Invasive	Brackish|Marine
150275	Null	Terrestrial
150276	Null	Terrestrial
150277	Null	Terrestrial
150278	Null	Terrestrial
150279	Invasive	Terrestrial
150280	Null	Freshwater
150281	Invasive	Terrestrial
150282	Null	Terrestrial
150283	Null	Terrestrial
150284	Null	Host
150285	Null	Host
150286	Null	Terrestrial
150287	Null	Terrestrial
150288	Null	Terrestrial
150289	Invasive	Terrestrial
150290	Invasive	Terrestrial
150291	Null	Terrestrial
150292	Null	Terrestrial
150293	Null	Terrestrial
150294	Null	Terrestrial
150295	Invasive	Terrestrial
150296	Null	Terrestrial
150297	Null	Terrestrial
150298	Null	Terrestrial
150299	Null	Terrestrial
150300	Null	Terrestrial
150301	Invasive	Terrestrial
150302	Invasive	Terrestrial
150303	Null	Terrestrial
150304	Null	Terrestrial
150305	Null	Host
150306	Null	Terrestrial
150307	Null	Terrestrial
150308	Invasive	Terrestrial
150309	Invasive	Freshwater
150310	Null	Terrestrial
150311	Invasive	Terrestrial
150312	Null	Terrestrial
150313	Null	Terrestrial
150314	Null	Terrestrial
150315	Null	Terrestrial
150316	Invasive	Terrestrial
150317	Null	Terrestrial
150318	Invasive	Terrestrial
150319	Invasive	Terrestrial
150320	Null	Terrestrial
150321	Null	Terrestrial
150322	Null	Terrestrial
150323	Null	Terrestrial
150324	Null	Terrestrial
150325	Null	Terrestrial
150326	Null	Terrestrial
150327	Null	Terrestrial
150328	Null	Terrestrial
150329	Null	Terrestrial
150330	Null	Terrestrial
150331	Invasive	Terrestrial|Freshwater
150332	Invasive	Terrestrial
150333	Null	Terrestrial
150334	Null	Terrestrial
150335	Null	Host
150336	Null	Host
150337	Null	Host
150338	Invasive	Terrestrial
150339	Null	Terrestrial
150340	Null	Terrestrial
150341	Null	Terrestrial
150342	Null	Terrestrial
150343	Null	Terrestrial
150344	Null	Terrestrial
150345	Invasive	Terrestrial
150346	Null	Terrestrial
150347	Null	Terrestrial
150348	Null	Terrestrial
150349	Null	Terrestrial
150350	Null	Terrestrial
150351	Null	Terrestrial
150352	Null	Terrestrial
150353	Null	Terrestrial
150354	Null	Terrestrial
150355	Null	Terrestrial
150356	Null	Terrestrial
150357	Null	Terrestrial
150358	Null	Terrestrial
150359	Null	Terrestrial
150360	Null	Terrestrial
150361	Null	Terrestrial
150362	Null	Terrestrial
150363	Null	Terrestrial
150364	Null	Terrestrial
150365	Null	Terrestrial
150366	Null	Terrestrial
150367	Null	Terrestrial
150368	Null	Terrestrial
150369	Null	Terrestrial
150370	Invasive	Terrestrial
