id	isInvasive	habitat
27819	Null	Terrestrial
27820	Yes	Terrestrial
27821	Yes	Terrestrial
27822	Yes	Terrestrial
27823	Yes	Terrestrial
27824	Null	Terrestrial
27825	Null	Terrestrial
27826	Null	Terrestrial
27827	Null	Terrestrial
27828	Yes	Terrestrial|Freshwater
27829	Yes	Terrestrial
27830	Yes	Terrestrial
27831	Null	Terrestrial
27832	Yes	Terrestrial
27833	Null	Terrestrial
27834	Yes	Terrestrial
27835	Yes	Terrestrial
27836	Null	Terrestrial
27837	Yes	Terrestrial
27838	Yes	Terrestrial
27839	Yes	Terrestrial
27840	Null	Terrestrial
27841	Null	Terrestrial
27842	Yes	Terrestrial
27843	Yes	Terrestrial
27844	Null	Terrestrial
27845	Yes	Terrestrial
27846	Null	Terrestrial
27847	Yes	Terrestrial
27848	Null	Terrestrial
27849	Yes	Terrestrial
27850	Null	Terrestrial
27851	Null	Terrestrial
27852	Yes	Terrestrial
27853	Null	Terrestrial
27854	Null	Terrestrial
27855	Null	Terrestrial
27856	Yes	Terrestrial
27857	Null	Terrestrial
27858	Yes	Terrestrial
27859	Yes	Terrestrial
27860	Yes	Terrestrial
27861	Null	Terrestrial
27862	Null	Terrestrial
27863	Yes	Terrestrial
27864	Null	Terrestrial
27865	Null	Terrestrial
27866	Yes	Terrestrial
27867	Yes	Terrestrial
27868	Yes	Terrestrial
27869	Yes	Terrestrial
27870	Yes	Terrestrial
27871	Null	Terrestrial
27872	Yes	Terrestrial
27873	Yes	Terrestrial
27874	Yes	Terrestrial
27875	Null	Terrestrial
27876	Null	Terrestrial|Freshwater
27877	Yes	Terrestrial
27878	Yes	Terrestrial
27879	Yes	Terrestrial|Freshwater
27880	Yes	Terrestrial|Freshwater
27881	Yes	Terrestrial|Freshwater
27882	Yes	Terrestrial
27883	Null	Terrestrial
27884	Null	Terrestrial
27885	Yes	Terrestrial
27886	Yes	Terrestrial
27887	Yes	Terrestrial
27888	Yes	Terrestrial
27889	Yes	Terrestrial
27890	Yes	Terrestrial
27891	Yes	Freshwater
27892	Yes	Terrestrial
27893	Yes	Terrestrial
27894	Null	Terrestrial
27895	Null	Terrestrial
27896	Null	Terrestrial
27897	Yes	Terrestrial
27898	Yes	Terrestrial
27899	Yes	Terrestrial
27900	Yes	Terrestrial
27901	Yes	Terrestrial
27902	Yes	Terrestrial
27903	Null	Terrestrial
27904	Null	Terrestrial
27905	Null	Terrestrial
27906	Null	Terrestrial
27907	Null	Terrestrial
27908	Null	Terrestrial
27909	Yes	Terrestrial
27910	Yes	Terrestrial
27911	Yes	Terrestrial|Freshwater
27912	Yes	Terrestrial
27913	Null	Terrestrial
27914	Null	Terrestrial
27915	Yes	Terrestrial
27916	Yes	Terrestrial
27917	Null	Terrestrial
27918	Yes	Terrestrial|Freshwater
27919	Yes	Terrestrial
27920	Yes	Terrestrial
27921	Yes	Terrestrial
27922	Null	Terrestrial
27923	Yes	Terrestrial
27924	Yes	Terrestrial
27925	Yes	Terrestrial
27926	Yes	Terrestrial
27927	Yes	Terrestrial
27928	Null	Terrestrial
27929	Yes	Terrestrial
27930	Yes	Terrestrial
27931	Null	Terrestrial
27932	Null	Terrestrial
27933	Null	Terrestrial
27934	Yes	Terrestrial
27935	Yes	Terrestrial
27936	Null	Terrestrial
27937	Null	Freshwater|Brackish
27938	Yes	Terrestrial
27939	Yes	Terrestrial
27940	Null	Terrestrial
27941	Null	Terrestrial
27942	Yes	Terrestrial
27943	Null	Terrestrial
27944	Yes	Terrestrial
27945	Yes	Terrestrial
27946	Yes	Terrestrial
27947	Yes	Terrestrial
27948	Yes	Terrestrial
27949	Null	Terrestrial
27950	Yes	Terrestrial
27951	Null	Terrestrial
27952	Yes	Terrestrial
27953	Yes	Terrestrial
27954	Null	Terrestrial
27955	Yes	Terrestrial
27956	Null	Terrestrial
27957	Yes	Terrestrial
27958	Yes	Terrestrial
27959	Yes	Terrestrial
27960	Yes	Terrestrial
27961	Yes	Terrestrial
27962	Null	Terrestrial
27963	Null	Terrestrial
27964	Yes	Terrestrial
27965	Yes	Terrestrial
27966	Yes	Terrestrial
27967	Yes	Terrestrial
27968	Yes	Terrestrial
27969	Yes	Terrestrial
27970	Null	Terrestrial
27971	Null	Terrestrial
27972	Yes	Terrestrial
27973	Null	Terrestrial
27974	Null	Terrestrial
27975	Yes	Terrestrial
27976	Yes	Terrestrial
27977	Yes	Terrestrial
27978	Null	Terrestrial
27979	Null	Terrestrial
27980	Null	Terrestrial
27981	Yes	Terrestrial
27982	Null	Terrestrial
27983	Null	Terrestrial
27984	Null	Terrestrial
27985	Null	Terrestrial
27986	Null	Terrestrial
27987	Null	Terrestrial
27988	Yes	Terrestrial
27989	Null	Terrestrial
27990	Yes	Terrestrial
27991	Null	Terrestrial
