id	locationID	countryCode	occurrenceStatus	establishmentMeans
111150	Nicaragua	NI	Present	Alien
111151	Nicaragua	NI	Present	Alien
111152	Nicaragua	NI	Present	Alien
111153	Nicaragua	NI	Present	Alien
111154	Nicaragua	NI	Present	Alien
111155	Nicaragua	NI	Present	Alien
111156	Nicaragua	NI	Present	Alien
111157	Nicaragua	NI	Present	Alien
111158	Nicaragua	NI	Present	Alien
111159	Nicaragua	NI	Present	Alien
111160	Nicaragua	NI	Present	Alien
111161	Nicaragua	NI	Present	Alien
111162	Nicaragua	NI	Present	Alien
111163	Nicaragua	NI	Present	Alien
111164	Nicaragua	NI	Present	Alien
111165	Nicaragua	NI	Present	Alien
111166	Nicaragua	NI	Present	Alien
111167	Nicaragua	NI	Present	Alien
111168	Nicaragua	NI	Present	Alien
111169	Nicaragua	NI	Present	Alien
111170	Nicaragua	NI	Present	Alien
111171	Nicaragua	NI	Present	Alien
111172	Nicaragua	NI	Present	Alien
111173	Nicaragua	NI	Present	Alien
111174	Nicaragua	NI	Present	Alien
111175	Nicaragua	NI	Present	Cryptogenic|Uncertain
111176	Nicaragua	NI	Present	Alien
111177	Nicaragua	NI	Present	Alien
111178	Nicaragua	NI	Present	Alien
111179	Nicaragua	NI	Present	Alien
111180	Nicaragua	NI	Present	Alien
111181	Nicaragua	NI	Present	Alien
111182	Nicaragua	NI	Present	Alien
111183	Nicaragua	NI	Present	Alien
111184	Nicaragua	NI	Present	Alien
111185	Nicaragua	NI	Present	Alien
111186	Nicaragua	NI	Present	Alien
111187	Nicaragua	NI	Present	Alien
111188	Nicaragua	NI	Present	Alien
111189	Nicaragua	NI	Present	Alien
111190	Nicaragua	NI	Present	Alien
111191	Nicaragua	NI	Present	Alien
111192	Nicaragua	NI	Present	Alien
111193	Nicaragua	NI	Present	Alien
111194	Nicaragua	NI	Present	Alien
111195	Nicaragua	NI	Present	Alien
111196	Nicaragua	NI	Present	Alien
111197	Nicaragua	NI	Present	Alien
111198	Nicaragua	NI	Present	Alien
111199	Nicaragua	NI	Present	Alien
111200	Nicaragua	NI	Present	Alien
111201	Nicaragua	NI	Present	Alien
111202	Nicaragua	NI	Present	Alien
111203	Nicaragua	NI	Present	Alien
111204	Nicaragua	NI	Present	Alien
111205	Nicaragua	NI	Present	Alien
111206	Nicaragua	NI	Present	Alien
111207	Nicaragua	NI	Present	Alien
111208	Nicaragua	NI	Present	Alien
111209	Nicaragua	NI	Present	Alien
111210	Nicaragua	NI	Present	Alien
111211	Nicaragua	NI	Present	Alien
111212	Nicaragua	NI	Present	Alien
111213	Nicaragua	NI	Present	Alien
111214	Nicaragua	NI	Present	Alien
111215	Nicaragua	NI	Present	Alien
111216	Nicaragua	NI	Present	Alien
111217	Nicaragua	NI	Present	Alien
111218	Nicaragua	NI	Present	Alien
111219	Nicaragua	NI	Present	Alien
111220	Nicaragua	NI	Present	Alien
111221	Nicaragua	NI	Present	Alien
111222	Nicaragua	NI	Present	Alien
111223	Nicaragua	NI	Present	Alien
111224	Nicaragua	NI	Present	Alien
111225	Nicaragua	NI	Present	Alien
111226	Nicaragua	NI	Present	Alien
111227	Nicaragua	NI	Present	Alien
111228	Nicaragua	NI	Present	Alien
111229	Nicaragua	NI	Present	Alien
111230	Nicaragua	NI	Present	Alien
111231	Nicaragua	NI	Present	Alien
111232	Nicaragua	NI	Present	Alien
111233	Nicaragua	NI	Present	Alien
111234	Nicaragua	NI	Present	Alien
111235	Nicaragua	NI	Present	Alien
111236	Nicaragua	NI	Present	Alien
111237	Nicaragua	NI	Present	Alien
111238	Nicaragua	NI	Present	Alien
111239	Nicaragua	NI	Present	Alien
111240	Nicaragua	NI	Present	Alien
111241	Nicaragua	NI	Present	Alien
111242	Nicaragua	NI	Present	Alien
111243	Nicaragua	NI	Present	Alien
111244	Nicaragua	NI	Present	Alien
111245	Nicaragua	NI	Present	Alien
111246	Nicaragua	NI	Present	Alien
111247	Nicaragua	NI	Present	Alien
111248	Nicaragua	NI	Present	Alien
111249	Nicaragua	NI	Present	Alien
111250	Nicaragua	NI	Present	Alien
111251	Nicaragua	NI	Present	Alien
111252	Nicaragua	NI	Present	Alien
111253	Nicaragua	NI	Present	Alien
111254	Nicaragua	NI	Present	Alien
111255	Nicaragua	NI	Present	Alien
111256	Nicaragua	NI	Present	Alien
111257	Nicaragua	NI	Present	Alien
111258	Nicaragua	NI	Present	Alien
111259	Nicaragua	NI	Present	Alien
111260	Nicaragua	NI	Present	Alien
111261	Nicaragua	NI	Present	Alien
111262	Nicaragua	NI	Present	Alien
111263	Nicaragua	NI	Present	Alien
111264	Nicaragua	NI	Present	Alien
111265	Nicaragua	NI	Present	Alien
111266	Nicaragua	NI	Present	Alien
111267	Nicaragua	NI	Present	Alien
111268	Nicaragua	NI	Present	Alien
111269	Nicaragua	NI	Present	Alien
111270	Nicaragua	NI	Present	Alien
111271	Nicaragua	NI	Present	Alien
111272	Nicaragua	NI	Present	Alien
111273	Nicaragua	NI	Present	Alien
111274	Nicaragua	NI	Present	Alien
111275	Nicaragua	NI	Present	Alien
111276	Nicaragua	NI	Present	Alien
111277	Nicaragua	NI	Present	Alien
111278	Nicaragua	NI	Present	Alien
111279	Nicaragua	NI	Present	Alien
111280	Nicaragua	NI	Present	Alien
111281	Nicaragua	NI	Present	Alien
111282	Nicaragua	NI	Present	Alien
111283	Nicaragua	NI	Present	Alien
111284	Nicaragua	NI	Present	Alien
111285	Nicaragua	NI	Present	Alien
111286	Nicaragua	NI	Present	Alien
