id	isInvasive	habitat
111150	Null	Terrestrial|Freshwater
111151	Invasive	Terrestrial|Freshwater
111152	Null	Terrestrial
111153	Invasive	Terrestrial
111154	Null	Terrestrial|Freshwater
111155	Null	Terrestrial
111156	Null	Terrestrial
111157	Null	Terrestrial
111158	Null	Terrestrial
111159	Null	Terrestrial
111160	Null	Terrestrial
111161	Null	Terrestrial
111162	Null	Terrestrial
111163	Null	Terrestrial
111164	Null	Terrestrial
111165	Null	Terrestrial
111166	Null	Terrestrial
111167	Null	Terrestrial
111168	Null	Terrestrial
111169	Null	Terrestrial
111170	Null	Terrestrial
111171	Invasive	Terrestrial
111172	Null	Terrestrial
111173	Invasive	Terrestrial
111174	Null	Terrestrial
111175	Null	Terrestrial
111176	Null	Terrestrial
111177	Invasive	Terrestrial
111178	Null	Terrestrial
111179	Null	Terrestrial
111180	Null	Terrestrial
111181	Null	Terrestrial
111182	Null	Terrestrial
111183	Null	Terrestrial
111184	Null	Terrestrial|Freshwater
111185	Null	Terrestrial
111186	Null	Terrestrial
111187	Null	Marine
111188	Null	Terrestrial
111189	Null	Terrestrial
111190	Null	Terrestrial|Freshwater
111191	Null	Terrestrial
111192	Invasive	Terrestrial
111193	Null	Terrestrial
111194	Null	Terrestrial
111195	Null	Terrestrial|Freshwater
111196	Null	Terrestrial|Freshwater
111197	Null	Terrestrial|Freshwater
111198	Null	Freshwater|Brackish
111199	Null	Terrestrial
111200	Null	Terrestrial
111201	Null	Terrestrial
111202	Null	Terrestrial
111203	Null	Terrestrial
111204	Invasive	Terrestrial
111205	Null	Terrestrial
111206	Null	Terrestrial
111207	Null	Freshwater
111208	Null	Freshwater
111209	Null	Terrestrial
111210	Null	Terrestrial
111211	Null	Terrestrial
111212	Null	Terrestrial
111213	Null	Terrestrial
111214	Null	Terrestrial
111215	Null	Terrestrial
111216	Null	Terrestrial
111217	Null	Terrestrial
111218	Null	Terrestrial
111219	Null	Terrestrial
111220	Null	Terrestrial
111221	Null	Terrestrial
111222	Null	Terrestrial
111223	Invasive	Terrestrial
111224	Null	Terrestrial
111225	Null	Terrestrial
111226	Null	Terrestrial
111227	Null	Terrestrial
111228	Null	Terrestrial
111229	Null	Terrestrial
111230	Null	Terrestrial
111231	Null	Terrestrial
111232	Null	Terrestrial
111233	Null	Terrestrial
111234	Null	Terrestrial
111235	Null	Terrestrial
111236	Null	Terrestrial
111237	Invasive	Terrestrial
111238	Null	Terrestrial
111239	Null	Terrestrial
111240	Null	Terrestrial
111241	Null	Terrestrial
111242	Null	Freshwater|Brackish|Marine
111243	Null	Terrestrial
111244	Null	Terrestrial
111245	Invasive	Freshwater|Brackish
111246	Invasive	Freshwater|Brackish
111247	Invasive	Freshwater|Brackish
111248	Null	Freshwater|Brackish
111249	Null	Terrestrial
111250	Null	Terrestrial
111251	Null	Terrestrial
111252	Null	Terrestrial
111253	Null	Terrestrial
111254	Null	Terrestrial
111255	Null	Terrestrial
111256	Null	Terrestrial
111257	Null	Terrestrial
111258	Invasive	Terrestrial
111259	Null	Terrestrial
111260	Null	Terrestrial
111261	Null	Marine
111262	Null	Terrestrial
111263	Null	Terrestrial
111264	Null	Terrestrial
111265	Null	Terrestrial
111266	Null	Terrestrial
111267	Null	Terrestrial
111268	Null	Terrestrial
111269	Null	Terrestrial
111270	Null	Terrestrial
111271	Null	Terrestrial
111272	Null	Terrestrial
111273	Null	Terrestrial
111274	Null	Terrestrial
111275	Null	Terrestrial
111276	Invasive	Terrestrial
111277	Null	Terrestrial
111278	Null	Terrestrial
111279	Invasive	Terrestrial
111280	Null	Terrestrial
111281	Null	Terrestrial
111282	Null	Terrestrial
111283	Null	Terrestrial
111284	Null	Terrestrial
111285	Null	Terrestrial|Freshwater
111286	Invasive	Terrestrial
