id	locationID	locality	countryCode	occurrenceStatus	establishmentMeans	occurrenceRemarks
1500	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Established
1501	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1502	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1503	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Established
1504	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1505	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Established
1506	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1507	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1508	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1509	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1510	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1511	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1512	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1513	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1514	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1515	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1516	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1517	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Established
1518	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Established
1519	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1520	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1521	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Established
1522	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Established
1523	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1524	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Reported
1525	http://datazone.birdlife.org/site/factsheet/conception-island-iba-seychelles	Conception	SC	Present	Alien	Established
