id	locationID	locality	countryCode	occurrenceStatus	establishmentMeans	occurrenceRemarks
1900	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Reported
1901	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Reported
1902	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Reported
1903	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Reported
1904	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Reported
1905	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Established
1906	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Reported
1907	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Reported
1908	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Reported
1909	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Reported
1910	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Reported
1911	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Reported
1912	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Reported
1913	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Established
1914	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Reported
1915	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Established
1916	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Established
1917	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Reported
1918	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Reported
1919	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Reported
1920	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Established
1921	http://datazone.birdlife.org/site/factsheet/darros-island-and-saint-joseph-atoll-iba-seychelles	D'Arros Island and Saint Joseph Atoll	SC	Present	Alien	Established
