id	isInvasive	habitat
8750	Null	Terrestrial
8751	Invasive	Terrestrial
8752	Null	Terrestrial
8753	Null	Terrestrial
8754	Null	Terrestrial
8755	Null	Terrestrial
8756	Null	Terrestrial
8757	Null	Terrestrial
8758	Null	Marine
8759	Null	Terrestrial
8760	Null	Terrestrial
8761	Null	Terrestrial
8762	Null	Terrestrial
8763	Null	Terrestrial
8764	Null	Terrestrial
8765	Null	Terrestrial
8766	Null	Terrestrial
8767	Null	Terrestrial
8768	Null	Host
8769	Null	Terrestrial
8770	Null	Terrestrial
8771	Null	Terrestrial
8772	Null	Terrestrial
8773	Null	Host
8774	Null	Terrestrial|Freshwater
8775	Null	Terrestrial
8776	Null	Terrestrial
8777	Null	Terrestrial
8778	Null	Terrestrial
8779	Null	Terrestrial
8780	Null	Terrestrial
8781	Null	Terrestrial
8782	Null	Terrestrial
8783	Null	Host
8784	Null	Terrestrial
8785	Null	Host
8786	Null	Host
8787	Null	Terrestrial
8788	Null	Terrestrial
8789	Null	Terrestrial
8790	Null	Terrestrial
8791	Null	Terrestrial
8792	Null	Terrestrial
8793	Null	Terrestrial
8794	Null	Terrestrial
8795	Null	Terrestrial
8796	Null	Terrestrial
8797	Null	Terrestrial
8798	Null	Terrestrial
8799	Null	Terrestrial
8800	Null	Terrestrial
8801	Null	Terrestrial
8802	Null	Host
8803	Null	Terrestrial
8804	Null	Terrestrial
8805	Null	Terrestrial
8806	Null	Terrestrial
8807	Null	Terrestrial
8808	Null	Terrestrial
8809	Null	Host
8810	Null	Terrestrial
8811	Null	Terrestrial
8812	Null	Terrestrial
8813	Null	Terrestrial
8814	Null	Terrestrial
8815	Null	Terrestrial
8816	Null	Terrestrial
8817	Null	Marine
8818	Null	Terrestrial
8819	Null	Terrestrial
8820	Null	Host
8821	Null	Terrestrial
8822	Null	Terrestrial
8823	Null	Terrestrial
8824	Null	Terrestrial
8825	Null	Terrestrial
8826	Null	Terrestrial
8827	Null	Terrestrial|Freshwater
8828	Null	Host
8829	Null	Host
8830	Null	Terrestrial
8831	Null	Terrestrial
8832	Null	Terrestrial
8833	Null	Terrestrial
8834	Null	Terrestrial
8835	Null	Terrestrial
8836	Null	Terrestrial
8837	Null	Terrestrial
8838	Null	Terrestrial|Freshwater
8839	Null	Terrestrial
8840	Null	Terrestrial
8841	Null	Terrestrial
8842	Null	Terrestrial
8843	Null	Host
8844	Null	Terrestrial
8845	Null	Host
8846	Null	Host
8847	Null	Terrestrial
8848	Null	Terrestrial
8849	Null	Host
8850	Null	Host
8851	Null	Host
8852	Null	Host
8853	Null	Host
8854	Null	Terrestrial
8855	Null	Terrestrial
8856	Null	Terrestrial
8857	Null	Terrestrial
8858	Null	Terrestrial
8859	Null	Terrestrial
8860	Null	Terrestrial
8861	Null	Host
8862	Null	Terrestrial
8863	Null	Terrestrial
8864	Invasive	Terrestrial
8865	Null	Terrestrial
8866	Null	Terrestrial
8867	Null	Terrestrial
8868	Null	Terrestrial
8869	Null	Terrestrial
8870	Null	Terrestrial
8871	Null	Terrestrial
8872	Null	Terrestrial
8873	Null	Marine
8874	Null	Terrestrial
8875	Null	Terrestrial
8876	Null	Terrestrial
8877	Null	Host
8878	Null	Host
8879	Null	Host
8880	Null	Host
8881	Null	Host
8882	Null	Terrestrial
8883	Null	Terrestrial
8884	Null	Terrestrial
8885	Null	Terrestrial
8886	Null	Terrestrial
8887	Null	Host
8888	Null	Host
8889	Null	Terrestrial
8890	Null	Terrestrial
8891	Null	Host
8892	Null	Host
8893	Invasive	Host
8894	Null	Host
8895	Null	Terrestrial
8896	Invasive	Terrestrial
8897	Null	Terrestrial
8898	Null	Terrestrial
8899	Null	Terrestrial
8900	Null	Host
8901	Null	Host
8902	Null	Host
8903	Null	Host
8904	Null	Host
8905	Null	Terrestrial
8906	Null	Terrestrial
8907	Null	Terrestrial
8908	Null	Host
8909	Null	Host
8910	Null	Host
8911	Null	Host
8912	Null	Terrestrial
8913	Null	Terrestrial
8914	Null	Terrestrial
8915	Null	Terrestrial
8916	Null	Terrestrial
8917	Null	Host
8918	Null	Terrestrial
8919	Null	Terrestrial
8920	Null	Terrestrial
8921	Null	Terrestrial
8922	Null	Terrestrial
8923	Null	Terrestrial
8924	Null	Terrestrial
8925	Null	Terrestrial
8926	Null	Terrestrial
8927	Null	Host
8928	Null	Terrestrial
8929	Null	Terrestrial
