id	isInvasive	habitat
8250	Null	Terrestrial
8251	Null	Terrestrial
8252	Null	Terrestrial
8253	Null	Terrestrial
8254	Null	Terrestrial
8255	Null	Terrestrial
8256	Invasive	Terrestrial
8257	Null	Terrestrial
8258	Null	Terrestrial
8259	Invasive	Terrestrial
8260	Invasive	Terrestrial
8261	Null	Terrestrial
8262	Null	Terrestrial
8263	Invasive	Terrestrial
8264	Null	Terrestrial
8265	Null	Terrestrial
8266	Null	Terrestrial
8267	Null	Terrestrial
8268	Null	Terrestrial
8269	Null	Terrestrial/Freshwater
8270	Invasive	Terrestrial
8271	Null	Terrestrial
8272	Null	Terrestrial
8273	Null	Terrestrial
8274	Invasive	Terrestrial
8275	Null	Terrestrial
8276	Null	Terrestrial
8277	Null	Terrestrial
8278	Null	Terrestrial
8279	Null	Terrestrial
8280	Null	Terrestrial
8281	Null	Terrestrial
8282	Null	Terrestrial
8283	Null	Terrestrial
8284	Null	Terrestrial
8285	Null	Terrestrial
8286	Null	Terrestrial
8287	Null	Terrestrial
8288	Null	Terrestrial
8289	Null	Terrestrial
8290	Null	Terrestrial
8291	Null	Terrestrial
8292	Null	Terrestrial
8293	Invasive	Terrestrial
8294	Null	Terrestrial
8295	Null	Terrestrial
8296	Null	Terrestrial
8297	Null	Terrestrial
8298	Null	Terrestrial
8299	Null	Terrestrial
8300	Null	Terrestrial
8301	Null	Terrestrial
8302	Null	Terrestrial
8303	Null	Terrestrial
8304	Null	Terrestrial
8305	Null	Terrestrial
8306	Null	Terrestrial
8307	Null	Terrestrial
8308	Invasive	Terrestrial
8309	Invasive	Terrestrial
8310	Null	Terrestrial
8311	Null	Terrestrial
8312	Null	Terrestrial
8313	Null	Terrestrial
8314	Null	Terrestrial
8315	Null	Terrestrial
8316	Null	Terrestrial
8317	Null	Terrestrial
8318	Invasive	Terrestrial
8319	Null	Terrestrial
8320	Null	Terrestrial
8321	Null	Terrestrial
8322	Null	Terrestrial
8323	Null	Terrestrial
8324	Invasive	Terrestrial
8325	Null	Terrestrial
8326	Null	Terrestrial
8327	Null	Terrestrial
8328	Null	Terrestrial
8329	Null	Terrestrial
8330	Invasive	Terrestrial
8331	Invasive	Terrestrial
8332	Null	Terrestrial
8333	Null	Terrestrial
8334	Invasive	Terrestrial
8335	Null	Terrestrial
8336	Null	Terrestrial
8337	Null	Terrestrial
8338	Null	Terrestrial
8339	Null	Terrestrial
8340	Null	Terrestrial
8341	Null	Terrestrial
8342	Null	Terrestrial
8343	Invasive	Terrestrial
8344	Invasive	Terrestrial
8345	Invasive	Terrestrial
8346	Null	Terrestrial
8347	Null	Terrestrial
8348	Null	Terrestrial
8349	Null	Terrestrial
8350	Invasive	Terrestrial
8351	Invasive	Terrestrial
8352	Null	Terrestrial
8353	Null	Terrestrial
8354	Invasive	Terrestrial
8355	Null	Terrestrial
8356	Null	Terrestrial
8357	Null	Terrestrial
8358	Null	Terrestrial
8359	Invasive	Terrestrial
8360	Null	Terrestrial
8361	Null	Terrestrial
8362	Null	Terrestrial
8363	Null	Terrestrial
8364	Null	Terrestrial
8365	Null	Terrestrial
8366	Null	Terrestrial
8367	Invasive	Terrestrial
8368	Invasive	Terrestrial
8369	Null	Terrestrial
8370	Null	Terrestrial
8371	Null	Terrestrial
8372	Null	Terrestrial
8373	Null	Terrestrial
8374	Null	Terrestrial
8375	Null	Terrestrial
8376	Null	Terrestrial
8377	Invasive	Terrestrial
8378	Null	Terrestrial
8379	Invasive	Terrestrial
8380	Null	Terrestrial
8381	Invasive	Terrestrial
8382	Null	Terrestrial
8383	Invasive	Terrestrial
8384	Null	Terrestrial
8385	Null	Terrestrial
8386	Invasive	Terrestrial
8387	Null	Terrestrial
8388	Null	Terrestrial
8389	Null	Terrestrial
8390	Null	Terrestrial
8391	Null	Terrestrial
8392	Null	Terrestrial
8393	Invasive	Terrestrial
8394	Invasive	Terrestrial
