id	isInvasive	habitat
5000	Null	Terrestrial
5001	To be evaluated	Terrestrial
5002	Null	Terrestrial
5003	To be evaluated	Terrestrial
5004	Null	Terrestrial
5005	Null	Terrestrial
5006	To be evaluated	Terrestrial
5007	Null	Terrestrial
5008	To be evaluated	Terrestrial
5009	To be evaluated	Freshwater
5010	Null	Terrestrial
5011	Null	Terrestrial
5012	Null	Terrestrial
5013	Null	Terrestrial
5014	Null	Terrestrial
5015	Null	Terrestrial
5016	To be evaluated	Terrestrial
5017	Null	Terrestrial
5018	To be evaluated	Terrestrial
5019	To be evaluated	Terrestrial
5020	To be evaluated	Terrestrial
5021	Null	Terrestrial
5022	Null	Host
5023	To be evaluated	Terrestrial
5024	Null	Terrestrial
5025	Null	Terrestrial
5026	Null	Freshwater|Brackish
5027	Null	Terrestrial
5028	Null	Terrestrial
5029	Null	Terrestrial
5030	Null	Terrestrial
5031	To be evaluated	Terrestrial
5032	Null	Terrestrial
5033	Null	Terrestrial
5034	Null	Terrestrial
5035	Null	Terrestrial
5036	Null	Terrestrial
5037	Null	Terrestrial
5038	Null	Terrestrial
5039	Null	Terrestrial
5040	To be evaluated	Terrestrial
5041	To be evaluated	Terrestrial
5042	Null	Terrestrial
5043	To be evaluated	Terrestrial
5044	To be evaluated	Terrestrial
5045	To be evaluated	Terrestrial
5046	Null	Freshwater|Brackish
5047	Null	Terrestrial
5048	Null	Terrestrial
5049	Null	Terrestrial
5050	Null	Terrestrial
5051	Null	Terrestrial
5052	Null	Terrestrial
5053	Null	Terrestrial
5054	To be evaluated	Terrestrial
5055	To be evaluated	Terrestrial
5056	Null	Terrestrial
5057	To be evaluated	Terrestrial
5058	Null	Terrestrial
5059	Null	Terrestrial
5060	Null	Terrestrial
5061	Null	Terrestrial
5062	Null	Terrestrial
