id	isInvasive	habitat
5500	To be evaluated	Terrestrial
5501	Null	Terrestrial
5502	Null	Terrestrial
5503	Null	Terrestrial
5504	Null	Terrestrial
5505	Null	Terrestrial
5506	Null	Terrestrial
5507	Null	Terrestrial
5508	Null	Terrestrial
5509	Null	Terrestrial
5510	To be evaluated	Terrestrial
5511	To be evaluated	Terrestrial
5512	To be evaluated	Terrestrial
5513	Null	Terrestrial
5514	To be evaluated	Terrestrial
5515	Null	Freshwater|Brackish
5516	Null	Terrestrial
5517	Null	Terrestrial
5518	Null	Terrestrial
5519	Null	Terrestrial
5520	Null	Terrestrial
5521	Null	Terrestrial
5522	Null	Terrestrial
5523	Null	Terrestrial
5524	Null	Terrestrial
5525	To be evaluated	Terrestrial
5526	Null	Terrestrial
5527	To be evaluated	Terrestrial
5528	To be evaluated	Terrestrial
5529	Null	Freshwater
5530	Null	Terrestrial
5531	To be evaluated	Terrestrial
5532	To be evaluated	Terrestrial
5533	Null	Freshwater|Brackish
5534	Null	Terrestrial
5535	Null	Terrestrial
5536	To be evaluated	Terrestrial
5537	Null	Terrestrial
5538	Null	Terrestrial
5539	To be evaluated	Terrestrial
5540	Null	Terrestrial
5541	To be evaluated	Terrestrial
5542	Null	Terrestrial
5543	To be evaluated	Terrestrial
5544	Null	Terrestrial
5545	To be evaluated	Terrestrial
5546	Null	Terrestrial
5547	Null	Terrestrial
