id	isInvasive	habitat
2400	Null	Terrestrial
2401	Invasive	Terrestrial
2402	Invasive	Terrestrial
2403	Invasive	Terrestrial
2404	Invasive	Terrestrial
2405	Null	Terrestrial
2406	Invasive	Terrestrial
2407	Null	Terrestrial
2408	Null	Terrestrial
2409	Null	Terrestrial
2410	Invasive	Terrestrial
2411	Invasive	Terrestrial
2412	Invasive	Terrestrial
2413	Invasive	Terrestrial
2414	Null	Terrestrial
2415	Invasive	Terrestrial
2416	Null	Terrestrial
2417	Invasive	Terrestrial
2418	Invasive	Terrestrial
2419	Null	Terrestrial
2420	Null	Terrestrial
2421	Invasive	Terrestrial
2422	Invasive	Terrestrial
2423	Invasive	Terrestrial
2424	Null	Terrestrial
2425	Null	Terrestrial
2426	Invasive	Terrestrial
2427	Null	Terrestrial
2428	Invasive	Terrestrial
2429	Invasive	Terrestrial
2430	Invasive	Terrestrial
2431	Invasive	Terrestrial
2432	Invasive	Terrestrial
2433	Invasive	Terrestrial
2434	Invasive	Terrestrial
2435	Null	Terrestrial
2436	Null	Terrestrial
2437	Null	Terrestrial
2438	Null	Terrestrial
2439	Null	Terrestrial
2440	Null	Terrestrial
2441	Invasive	Terrestrial
2442	Invasive	Terrestrial
2443	Invasive	Terrestrial
2444	Invasive	Terrestrial
2445	Null	Terrestrial
2446	Null	Terrestrial
2447	Null	Terrestrial
2448	Invasive	Terrestrial
2449	Null	Terrestrial
2450	Null	Terrestrial
2451	Invasive	Terrestrial
2452	Null	Terrestrial
2453	Invasive	Terrestrial
2454	Invasive	Terrestrial
2455	Null	Terrestrial
2456	Invasive	Terrestrial
2457	Null	Terrestrial
2458	Invasive	Terrestrial
2459	Null	Terrestrial
