id	isInvasive	habitat
6000	To be evaluated	Terrestrial
6001	Null	Terrestrial
6002	Null	Terrestrial
6003	To be evaluated	Terrestrial
6004	Null	Terrestrial
6005	Null	Terrestrial
6006	Null	Terrestrial
6007	Null	Terrestrial
6008	To be evaluated	Terrestrial
6009	To be evaluated	Terrestrial
6010	To be evaluated	Terrestrial
6011	Null	Terrestrial
6012	To be evaluated	Terrestrial
6013	To be evaluated	Freshwater
6014	Null	Terrestrial
6015	Null	Terrestrial
6016	Null	Terrestrial
6017	To be evaluated	Terrestrial
6018	Null	Terrestrial
6019	Null	Terrestrial
6020	Null	Terrestrial
6021	To be evaluated	Terrestrial
6022	To be evaluated	Terrestrial
6023	To be evaluated	Terrestrial
6024	Null	Terrestrial
6025	To be evaluated	Terrestrial
6026	Null	Terrestrial
6027	To be evaluated	Terrestrial
6028	Null	Terrestrial
6029	To be evaluated	Freshwater
6030	Null	Terrestrial
6031	To be evaluated	Terrestrial
6032	Null	Terrestrial
6033	To be evaluated	Host
6034	Null	Terrestrial
6035	To be evaluated	Terrestrial
6036	Null	Terrestrial
6037	Null	Terrestrial
6038	To be evaluated	Terrestrial|Freshwater
6039	Null	Freshwater|Brackish
6040	Null	Terrestrial
6041	Null	Terrestrial
6042	Null	Terrestrial
6043	Null	Terrestrial
6044	To be evaluated	Terrestrial
6045	Null	Terrestrial
6046	To be evaluated	Terrestrial
6047	Null	Terrestrial
6048	To be evaluated	Terrestrial
6049	Null	Terrestrial
6050	Null	Terrestrial
6051	Null	Terrestrial
6052	Null	Terrestrial
6053	To be evaluated	Terrestrial
6054	To be evaluated	Terrestrial
6055	Null	Terrestrial
6056	Null	Terrestrial
6057	To be evaluated	Terrestrial
6058	Null	Terrestrial
6059	Null	Terrestrial
6060	To be evaluated	Terrestrial
6061	To be evaluated	Terrestrial
6062	Null	Terrestrial
6063	Null	Terrestrial
6064	Null	Terrestrial
6065	To be evaluated	Terrestrial
6066	To be evaluated	Terrestrial
6067	Null	Terrestrial
6068	To be evaluated	Terrestrial
6069	Null	Terrestrial
6070	Null	Terrestrial
6071	Null	Terrestrial
6072	To be evaluated	Terrestrial
6073	To be evaluated	Terrestrial
6074	To be evaluated	Terrestrial
6075	To be evaluated	Terrestrial
6076	To be evaluated	Terrestrial
6077	Null	Terrestrial
6078	Null	Terrestrial
6079	Null	Terrestrial
6080	Null	Terrestrial
6081	To be evaluated	Terrestrial
6082	To be evaluated	Terrestrial
6083	To be evaluated	Terrestrial
6084	Null	Terrestrial
6085	Null	Terrestrial
6086	Null	Terrestrial
6087	Null	Terrestrial
6088	To be evaluated	Terrestrial
6089	To be evaluated	Terrestrial
6090	To be evaluated	Terrestrial
6091	To be evaluated	Terrestrial
6092	Null	Terrestrial
6093	Null	Terrestrial
6094	Null	Terrestrial
6095	Null	Terrestrial
6096	To be evaluated	Terrestrial
6097	Null	Terrestrial
6098	Null	Terrestrial
6099	To be evaluated	Terrestrial
6100	To be evaluated	Terrestrial
6101	Null	Terrestrial
6102	To be evaluated	Terrestrial
6103	Null	Terrestrial
6104	To be evaluated	Terrestrial
6105	Null	Terrestrial
6106	To be evaluated	Terrestrial
6107	Null	Terrestrial
6108	Null	Terrestrial
6109	Null	Terrestrial
6110	Null	Terrestrial
6111	Null	Terrestrial
6112	Null	Terrestrial
6113	To be evaluated	Terrestrial
6114	To be evaluated	Terrestrial
6115	Null	Terrestrial
6116	To be evaluated	Terrestrial
6117	Null	Terrestrial
6118	Null	Terrestrial
6119	Null	Terrestrial
6120	Null	Terrestrial
6121	Null	Terrestrial
6122	Null	Terrestrial
