id	locationID	locality	countryCode	occurrenceStatus	establishmentMeans	occurrenceRemarks
12262	https://www.protectedplanet.net/murchison-falls-national-park	Murchison Falls National Park	UG	Present	Alien	Potentially invasive
12263	https://www.protectedplanet.net/murchison-falls-national-park	Murchison Falls National Park	UG	Present	Alien	Potentially invasive
12264	https://www.protectedplanet.net/murchison-falls-national-park	Murchison Falls National Park	UG	Present	Alien	Potentially invasive
12265	https://www.protectedplanet.net/murchison-falls-national-park	Murchison Falls National Park	UG	Present	Alien	Potentially invasive
12266	https://www.protectedplanet.net/murchison-falls-national-park	Murchison Falls National Park	UG	Present	Alien	Potentially invasive
12267	https://www.protectedplanet.net/murchison-falls-national-park	Murchison Falls National Park	UG	Present	Alien	Potentially invasive
12268	https://www.protectedplanet.net/murchison-falls-national-park	Murchison Falls National Park	UG	Present	Alien	
12269	https://www.protectedplanet.net/murchison-falls-national-park	Murchison Falls National Park	UG	Present	Alien	Potentially invasive
12270	https://www.protectedplanet.net/murchison-falls-national-park	Murchison Falls National Park	UG	Present	Alien	Potentially invasive
12271	https://www.protectedplanet.net/murchison-falls-national-park	Murchison Falls National Park	UG	Present	Alien	Potentially invasive
12272	https://www.protectedplanet.net/murchison-falls-national-park	Murchison Falls National Park	UG	Present	Alien	Potentially invasive
12273	https://www.protectedplanet.net/murchison-falls-national-park	Murchison Falls National Park	UG	Present	Alien	Potentially invasive
12274	https://www.protectedplanet.net/murchison-falls-national-park	Murchison Falls National Park	UG	Present	Alien	Potentially invasive
12275	https://www.protectedplanet.net/murchison-falls-national-park	Murchison Falls National Park	UG	Present	Alien	Potentially invasive
12276	https://www.protectedplanet.net/murchison-falls-national-park	Murchison Falls National Park	UG	Present	Alien	Potentially invasive
12277	https://www.protectedplanet.net/murchison-falls-national-park	Murchison Falls National Park	UG	Present	Alien	Potentially invasive
