id	taxonID	scientificName	acceptedNameUsage	kingdom	phylum	class	order	family	taxonRank	verbatimTaxonRank	taxonomicStatus	taxonRemarks	modified
10000	10000	Agrostis castellana Boiss. & Reut.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	Agrostis castellana	ACCEPTED		2024
10001	10001	Agrostis gigantea Roth		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	Agrostis gigantea	ACCEPTED		2024
10002	10002	Agrostis stolonifera L.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	Agrostis stolonifera	ACCEPTED		2024
10003	10003	Agrotis ipsilon (Hufnagel, 1766)		Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	SPECIES	Agrotis ipsilon	ACCEPTED		2024
10004	10004	Agrotis segetum (Denis & Schiffermüller, 1775)		Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	SPECIES	Agrotis segetum	ACCEPTED		2024
10005	10005	Alopecurus geniculatus L.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	Alopecurus geniculatus	ACCEPTED		2024
10006	10006	Anomis sabulifera Guenée, 1852		Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	SPECIES	Anomis sabulifera	ACCEPTED		2024
10007	10007	Anser anser (Linnaeus, 1758)		Animalia	Chordata	Aves	Anseriformes	Anatidae	SPECIES	Anser anser	ACCEPTED		2024
10008	10008	Aphidius matricariae Haliday, 1834		Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae	SPECIES	Aphidius matricariae	ACCEPTED		2024
10009	10009	Apterothrips apteris (Daniel, 1904)		Animalia	Arthropoda	Insecta	Thysanoptera	Thripidae	SPECIES	Apterothrips apteris	ACCEPTED		2024
10010	10010	Avena sativa L.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	Avena sativa	ACCEPTED	Vagrant. Year of introduction is estimated between 1965 and 1966.	2024
10011	10011	Bimastos rubidus (Savigny, 1826)		Animalia	Annelida	Clitellata	Crassiclitellata	Lumbricidae	SPECIES	Bimastos rubidus	ACCEPTED		2024
10012	10012	Blattella germanica (Linnaeus, 1767)		Animalia	Arthropoda	Insecta	Blattodea	Ectobiidae	SPECIES	Blattella germanica	ACCEPTED	First introduced between 1983/1985, eradicated, and found again in 2022.	2024
10013	10013	Botrytis cinerea Pers.Ex Nocca & Balb., 1821	Botrytis cinerea Pers.Ex Nocca & Balb., 1821	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	SPECIES	Botryotinia fuckeliana	SYNONYM	Year of introduction is estimated between 1987 and 1988.	2024
10014	10014	Hyalopterus pruni (Geoffroy, 1762)	Hyalopterus pruni (Geoffroy, 1762)	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	SPECIES	Brachycaudus helichrysi	SYNONYM	Year of introduction is estimated between 1965 and 1966.	2024
10015	10015	Calliphora vicina Robineau-Desvoidy, 1830		Animalia	Arthropoda	Insecta	Diptera	Calliphoridae	SPECIES	Calliphora vicina	ACCEPTED		2024
10016	10016	Canis lupus subsp. familiaris Linnaeus, 1758		Animalia	Chordata	Mammalia	Carnivora	Canidae	SUBSPECIES	Canis lupus subsp. familiaris	ACCEPTED	The species was first introduced between 1818 and 1819; then in 1961 and again in 1978. First two males introduced as pets, the first in 1818/1819, the second in 1961. Three females in 1978 as potential control for cats, but removed from Marion Island after the experiment (Watkins and Cooper 1986).	2024
10017	10017	Capra hircus Linnaeus, 1758		Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	SPECIES	Capra hircus	ACCEPTED		2024
10018	10018	Carnivore protoparvovirus 1		Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	SPECIES	Carnivore protoparvovirus	ACCEPTED		2024
10019	10019	Cerastium fontanum Baumg.		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	SPECIES	Cerastium fontanum	ACCEPTED		2024
10020	10020	Ceratophysella denticulata (Bagnall, 1941)		Animalia	Arthropoda	Collembola	Poduromorpha	Hypogastruridae	SPECIES	Ceratophysella denticulata	ACCEPTED	Year of introduction is estimated between 1972 and 1973.	2024
