id	taxonID	scientificName	acceptedNameUsage	kingdom	phylum	class	order	family	taxonRank	taxonomicStatus
6750	6750	Agropyron repens (L.) P.Beauv.	Elymus repens (L.) Gould	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	SYNONYM
6751	6751	Agrostis castellana Boiss. & Reut.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED
6752	6752	Agrostis gigantea Roth		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED
6753	6753	Agrostis stolonifera L.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED
6754	6754	Agrotis ipsilon (Hufnagel, 1766)		Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	SPECIES	ACCEPTED
6755	6755	Agrotis segetum (Denis & Schiffermuller, 1775)		Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	SPECIES	ACCEPTED
6756	6756	Alopecurus australis Nees	Alopecurus geniculatus L.	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	SYNONYM
6757	6757	Alopecurus geniculatus L.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED
6758	6758	Anobiidae		Animalia	Arthropoda	Insecta	Coleoptera	Anobiidae	FAMILY	ACCEPTED
6759	6759	Aphidius matricariae Haliday, 1834		Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae	SPECIES	ACCEPTED
6760	6760	Apterothrips apteris (Daniel, 1904)		Animalia	Arthropoda	Insecta	Thysanoptera	Thripidae	SPECIES	ACCEPTED
6761	6761	Avena sativa L.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED
6762	6762	Botryotinia fuckeliana (de Bary) Whetzel		Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	SPECIES	ACCEPTED
6763	6763	Calliphora vicina Robineau-Desvoidy, 1830		Animalia	Arthropoda	Insecta	Diptera	Calliphoridae	SPECIES	ACCEPTED
6764	6764	Cerastium fontanum Baumg.		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	SPECIES	ACCEPTED
6765	6765	Cerastium fontanum Baumg.		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	SPECIES	ACCEPTED
6766	6766	Ceratophysella denticulata (Bagnall, 1941)		Animalia	Arthropoda	Entognatha	Collembola	Hypogastruridae	SPECIES	ACCEPTED
6767	6767	Ceratophysella denticulata (Bagnall, 1941)		Animalia	Arthropoda	Entognatha	Collembola	Hypogastruridae	SPECIES	ACCEPTED
6768	6768	Cheiracanthium furculatum Karsch, 1879		Animalia	Arthropoda	Arachnida	Araneae	Cheiracanthiidae	SPECIES	ACCEPTED
6769	6769	Chrysomelidae		Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	FAMILY	ACCEPTED
6770	6770	Cosmophila sabulifera Guen.	Anomis sabulifera Guenée, 1852	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	SPECIES	SYNONYM
6771	6771	Dendrolaelaps sp.nov Halbert, 1915		Animalia	Arthropoda	Arachnida	Mesostigmata	Digamasellidae	GENUS	ACCEPTED
6772	6772	Dendrolaelaps sp.nov Halbert, 1915		Animalia	Arthropoda	Arachnida	Mesostigmata	Digamasellidae	GENUS	ACCEPTED
6773	6773	Deroceras panormitanum (Lessona & Pollonera, 1882)		Animalia	Mollusca	Gastropoda	Stylommatophora	Agriolimacidae	SPECIES	ACCEPTED
6774	6774	Disparipes antarcticus Richters		Animalia	Arthropoda	Arachnida	Prostigmata	Scutacaridae	SPECIES	ACCEPTED
6775	6775	Elymus repens (L.) Gould		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED
6776	6776	Fannia canicularis (Linnaeus, 1761)		Animalia	Arthropoda	Insecta	Diptera	Fanniidae	SPECIES	ACCEPTED
6777	6777	Fannia canicularis (Linnaeus, 1761)		Animalia	Arthropoda	Insecta	Diptera	Fanniidae	SPECIES	ACCEPTED
6778	6778	Felis catus Linnaeus, 1758		Animalia	Chordata	Mammalia	Carnivora	Felidae	SPECIES	ACCEPTED
6779	6779	Festuca rubra L.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED
6780	6780	Glycyphagus domesticus (de Geer, 1778)		Animalia	Arthropoda	Arachnida	Astigmata	Glycyphagidae	SPECIES	ACCEPTED
6781	6781	Helicoverpa armigera (Hubner, 1808)		Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	SPECIES	ACCEPTED
6782	6782	Holcus lanatus L.		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED
6783	6783	Hypochaeris radicata L.		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES	ACCEPTED
6784	6784	Isotomurus maculatus (Schaeffer, 1896)		Animalia	Arthropoda	Entognatha	Collembola	Isotomidae	SPECIES	ACCEPTED
6785	6785	Juncus effusus L.		Plantae	Tracheophyta	Liliopsida	Poales	Juncaceae	SPECIES	ACCEPTED
6786	6786	Lamprolonchaea smaragdi (Walker, 1849)		Animalia	Arthropoda	Insecta	Diptera	Lonchaeidae	SPECIES	ACCEPTED
6787	6787	Lepisiota capensis (Mayr, 1862)		Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	SPECIES	ACCEPTED
