id	isInvasive	habitat
13000	Null	Terrestrial
13001	Null	Terrestrial
13002	Null	Terrestrial
13003	Invasive	Terrestrial
13004	Null	Terrestrial
13005	Null	Terrestrial
13006	Null	Terrestrial
13007	Invasive	Terrestrial
13008	Null	Terrestrial
13009	Null	Terrestrial
13010	Invasive	Terrestrial
13011	Null	Terrestrial
13012	Null	Terrestrial
13013	Invasive	Terrestrial
13014	Null	Terrestrial
13015	Null	Terrestrial
13016	Null	Terrestrial
13017	Invasive	Terrestrial
13018	Invasive	Terrestrial
13019	Null	Terrestrial
13020	Null	Terrestrial
13021	Null	Terrestrial
13022	Null	Terrestrial
13023	Invasive	Terrestrial
13024	Invasive	Terrestrial
13025	Null	Terrestrial
13026	Null	Terrestrial
13027	Invasive	Terrestrial
13028	Null	Terrestrial
13029	Null	Freshwater
13030	Null	Terrestrial
13031	Null	Terrestrial
13032	Null	Terrestrial
13033	Null	Terrestrial
13034	Invasive	Terrestrial
13035	Null	Terrestrial
13036	Null	Terrestrial
13037	Null	Terrestrial
13038	Null	Terrestrial
13039	Null	Terrestrial
13040	Invasive	Terrestrial
13041	Null	Terrestrial
13042	Null	Terrestrial
13043	Null	Terrestrial
13044	Null	Terrestrial
13045	Invasive	Terrestrial
13046	Null	Terrestrial
13047	Null	Terrestrial
13048	Null	Terrestrial
13049	Null	Terrestrial
13050	Null	Terrestrial
13051	Null	Terrestrial
13052	Null	Terrestrial
13053	Invasive	Terrestrial
13054	Null	Terrestrial
13055	Null	Terrestrial
13056	Null	Terrestrial
13057	Null	Terrestrial
13058	Null	Terrestrial
13059	Null	Terrestrial
13060	Null	Terrestrial
13061	Invasive	Terrestrial
13062	Null	Terrestrial
13063	Invasive	Terrestrial
13064	Null	Terrestrial
13065	Null	Terrestrial
13066	Null	Terrestrial
13067	Null	Terrestrial
13068	Null	Terrestrial
13069	Null	Terrestrial
13070	Null	Terrestrial
13071	Null	Terrestrial
13072	Invasive	Terrestrial
13073	Invasive	Terrestrial
13074	Null	Terrestrial
13075	Null	Terrestrial
13076	Invasive	Terrestrial
13077	Null	Terrestrial
13078	Null	Terrestrial
13079	Null	Terrestrial
13080	Invasive	Terrestrial
13081	Invasive	Terrestrial
13082	Null	Terrestrial
13083	Null	Terrestrial
13084	Null	Terrestrial
13085	Null	Terrestrial
13086	Null	Terrestrial
13087	Null	Terrestrial
13088	Null	Terrestrial
13089	Null	Terrestrial
13090	Null	Terrestrial
13091	Null	Terrestrial
13092	Null	Terrestrial
13093	Null	Terrestrial
13094	Invasive	Terrestrial
13095	Null	Terrestrial
13096	Null	Terrestrial
13097	Null	Terrestrial
13098	Null	Terrestrial
13099	Null	Terrestrial
13100	Null	Terrestrial
13101	Null	Terrestrial
13102	Null	Terrestrial
13103	Null	Terrestrial
13104	Null	Terrestrial
13105	Null	Terrestrial
13106	Null	Terrestrial
13107	Null	Terrestrial
13108	Null	Terrestrial
13109	Null	Terrestrial
13110	Null	Terrestrial
13111	Null	Terrestrial
13112	Null	Terrestrial
13113	Null	Terrestrial
13114	Null	Terrestrial
13115	Null	Terrestrial
13116	Invasive	Terrestrial
13117	Null	Terrestrial
13118	Null	Terrestrial
13119	Null	Terrestrial
13120	Invasive	Terrestrial
13121	Null	Terrestrial
13122	Null	Terrestrial
13123	Null	Terrestrial
13124	Null	Terrestrial
13125	Null	Terrestrial
13126	Null	Terrestrial
13127	Null	Terrestrial
13128	Null	Terrestrial
13129	Null	Terrestrial
13130	Null	Terrestrial
13131	Null	Terrestrial
13132	Null	Terrestrial
13133	Null	Terrestrial
13134	Null	Terrestrial
13135	Null	Terrestrial
13136	Null	Terrestrial
13137	Null	Terrestrial
13138	Null	Terrestrial
13139	Null	Terrestrial
13140	Null	Terrestrial
13141	Null	Terrestrial
13142	Null	Terrestrial
13143	Null	Terrestrial
13144	Null	Terrestrial
13145	Null	Terrestrial
13146	Invasive	Terrestrial
13147	Null	Terrestrial
13148	Invasive	Terrestrial
13149	Null	Terrestrial
13150	Null	Terrestrial
13151	Null	Terrestrial
13152	Null	Terrestrial
13153	Null	Terrestrial
13154	Null	Terrestrial
13155	Null	Terrestrial
13156	Null	Terrestrial
13157	Null	Terrestrial
13158	Null	Terrestrial
13159	Null	Terrestrial
13160	Null	Terrestrial
13161	Invasive	Terrestrial
13162	Null	Terrestrial
13163	Null	Terrestrial
13164	Null	Terrestrial
13165	Null	Terrestrial
13166	Null	Terrestrial
13167	Null	Terrestrial
13168	Invasive	Terrestrial
13169	Null	Terrestrial
13170	Null	Terrestrial
13171	Null	Terrestrial
13172	Invasive	Terrestrial
13173	Invasive	Terrestrial
13174	Invasive	Terrestrial
13175	Invasive	Terrestrial
13176	Null	Terrestrial
13177	Invasive	Terrestrial
13178	Null	Terrestrial
13179	Invasive	Terrestrial
13180	Null	Terrestrial
13181	Null	Terrestrial
13182	Null	Terrestrial
13183	Null	Terrestrial
13184	Null	Terrestrial
13185	Null	Terrestrial
13186	Null	Terrestrial
13187	Null	Terrestrial
13188	Null	Terrestrial
13189	Null	Terrestrial
13190	Invasive	Freshwater
13191	Null	Terrestrial
13192	Null	Terrestrial
13193	Null	Terrestrial
13194	Null	Terrestrial
13195	Null	Terrestrial
13196	Null	Terrestrial
13197	Null	Freshwater
13198	Invasive	Terrestrial
13199	Null	Terrestrial
13200	Invasive	Terrestrial
13201	Invasive	Terrestrial
13202	Invasive	Terrestrial
13203	Null	Terrestrial
13204	Null	Terrestrial
13205	Null	Terrestrial
13206	Null	Terrestrial
13207	Null	Terrestrial
13208	Null	Terrestrial
13209	Null	Terrestrial
13210	Null	Terrestrial
13211	Null	Terrestrial
13212	Null	Terrestrial
13213	Null	Terrestrial
13214	Null	Terrestrial
13215	Null	Terrestrial
13216	Invasive	Terrestrial
13217	Null	Terrestrial
13218	Invasive	Terrestrial
13219	Invasive	Terrestrial
13220	Invasive	Terrestrial
13221	Null	Terrestrial
13222	Null	Terrestrial
13223	Invasive	Terrestrial
13224	Invasive	Terrestrial
13225	Invasive	Terrestrial
13226	Null	Terrestrial
13227	Invasive	Terrestrial
13228	Null	Terrestrial
13229	Null	Terrestrial
13230	Null	Terrestrial
13231	Null	Terrestrial
13232	Null	Terrestrial
13233	Null	Terrestrial
13234	Invasive	Terrestrial
13235	Null	Terrestrial
13236	Null	Terrestrial
13237	Invasive	Terrestrial
13238	Null	Terrestrial
13239	Null	Terrestrial
13240	Null	Terrestrial
13241	Null	Terrestrial
13242	Null	Terrestrial
13243	Null	Terrestrial
13244	Invasive	Terrestrial
13245	Invasive	Terrestrial
13246	Null	Terrestrial
13247	Null	Terrestrial
13248	Null	Terrestrial
13249	Invasive	Terrestrial
13250	Null	Terrestrial
13251	Null	Terrestrial
13252	Null	Terrestrial
13253	Invasive	Terrestrial
13254	Null	Terrestrial
13255	Invasive	Terrestrial
13256	Null	Terrestrial
13257	Null	Terrestrial
13258	Null	Terrestrial
13259	Invasive	Terrestrial
13260	Null	Terrestrial
13261	Null	Terrestrial
13262	Invasive	Terrestrial
