id	isInvasive	habitat
12374	Not evaluated	Terrestrial
12375	Not evaluated	Terrestrial
12376	Not evaluated	Terrestrial
12377	Not evaluated	Terrestrial
12378	Not evaluated	Terrestrial
12379	Not evaluated	Terrestrial
12380	Not evaluated	Terrestrial
12381	Not evaluated	Terrestrial
12382	Not evaluated	Terrestrial
12383	Not evaluated	Terrestrial
12384	Not evaluated	Terrestrial
12385	Not evaluated	Terrestrial
12386	Not evaluated	Terrestrial
12387	Not evaluated	Terrestrial
12388	Not evaluated	Terrestrial
12389	Not evaluated	Terrestrial
12390	Not evaluated	Terrestrial
12391	Not evaluated	Terrestrial
12392	Not evaluated	Terrestrial
12393	Not evaluated	Terrestrial
12394	Not evaluated	Terrestrial
12395	Not evaluated	Terrestrial
