id	isInvasive	habitat
7750	Null	Terrestrial
7751	To be evaluated	Terrestrial
7752	Null	Terrestrial
7753	Null	Terrestrial
7754	Null	Terrestrial
7755	Null	Terrestrial
7756	Null	Terrestrial
7757	Null	Terrestrial
7758	Null	Terrestrial
7759	Null	Terrestrial
7760	Null	Terrestrial
7761	Null	Terrestrial
7762	Null	Terrestrial
7763	Null	Terrestrial
7764	Null	Terrestrial
7765	Null	Terrestrial
7766	Null	Terrestrial
7767	Null	Terrestrial
7768	Null	Terrestrial
7769	Null	Terrestrial
7770	To be evaluated	Terrestrial
7771	Null	Terrestrial
7772	Null	Terrestrial
7773	Null	Terrestrial
7774	Null	Terrestrial
7775	Null	Terrestrial
7776	Null	Terrestrial
7777	Null	Terrestrial
7778	Null	Terrestrial|Freshwater|Marine
7779	Null	Terrestrial
7780	Null	Terrestrial
7781	Null	Terrestrial
7782	Null	Terrestrial
7783	Null	Terrestrial
7784	Null	Terrestrial
7785	Null	Terrestrial
7786	Null	Terrestrial
7787	To be evaluated	Terrestrial
7788	To be evaluated	Terrestrial
7789	To be evaluated	Terrestrial
7790	Null	Terrestrial
7791	Null	Terrestrial
7792	Null	Terrestrial
7793	To be evaluated	Terrestrial|Freshwater
7794	Null	Terrestrial
7795	Null	Terrestrial
7796	Null	Terrestrial
7797	Null	Terrestrial
7798	Null	Terrestrial
7799	Null	Terrestrial
7800	Null	Terrestrial
7801	Null	Terrestrial
7802	Null	Terrestrial
7803	Null	Terrestrial
7804	Null	Terrestrial
7805	Null	Terrestrial
7806	Null	Terrestrial
7807	Null	Terrestrial
7808	Null	Terrestrial
7809	Null	Terrestrial
7810	Null	Terrestrial
7811	Null	Terrestrial
7812	Null	Terrestrial
7813	Null	Terrestrial
7814	Null	Terrestrial
7815	Null	Terrestrial
7816	Null	Terrestrial
7817	Null	Terrestrial
7818	Null	Terrestrial
7819	Null	Terrestrial
7820	Null	Terrestrial
7821	Null	Terrestrial
7822	Null	Terrestrial
7823	Null	Terrestrial
7824	Null	Terrestrial
7825	Null	Terrestrial
7826	Null	Terrestrial
7827	Null	Terrestrial
7828	Null	Terrestrial
7829	Null	Terrestrial
7830	Null	Terrestrial
7831	Null	Terrestrial
7832	Null	Terrestrial
7833	Null	Terrestrial
7834	Null	Terrestrial|Freshwater
