id	isInvasive	habitat
1250	Null	Terrestrial
1251	Null	Terrestrial
1252	Null	Terrestrial
1253	Null	Terrestrial
1254	Null	Terrestrial
1255	Invasive	Terrestrial
1256	Null	Terrestrial
1257	Null	Terrestrial
1258	Null	Terrestrial
1259	Null	Terrestrial
1260	Null	Terrestrial
1261	Null	Terrestrial
1262	Null	Terrestrial
1263	Null	Terrestrial
1264	Null	Terrestrial
1265	Null	Terrestrial
1266	Null	Terrestrial
1267	Null	Terrestrial
1268	Null	Terrestrial
1269	Null	Terrestrial
1270	Null	Terrestrial
1271	Null	Terrestrial
1272	Null	Terrestrial
1273	Null	Terrestrial
1274	Null	Terrestrial
1275	Null	Terrestrial
1276	Null	Terrestrial
1277	Null	Terrestrial
1278	Null	Terrestrial
1279	Null	Terrestrial
1280	Null	Terrestrial
1281	Null	Terrestrial
1282	Null	Terrestrial
1283	Null	Terrestrial
1284	Null	Terrestrial
1285	Null	Terrestrial
1286	Null	Terrestrial
1287	Null	Terrestrial
1288	Null	Terrestrial
1289	Null	Terrestrial
1290	Null	Terrestrial
1291	Null	Terrestrial
1292	Null	Terrestrial
1293	Null	Terrestrial
