id	locationID	locality	countryCode	occurrenceStatus	establishmentMeans	pathway	eventDate
11000	DENMARK	Danish Wadden Sea	DK	present	introduced	Transport - stowaway: Ship/boat hull fouling	
11001	DENMARK	Danish Wadden Sea	DK	present	introduced	Unaided: Natural dispersal across borders	
11002	DENMARK	Danish Wadden Sea	DK	present	introduced		
11003	DENMARK	Danish Wadden Sea	DK	present	introduced	Unaided: Natural dispersal across borders	
11004	DENMARK	Danish Wadden Sea	DK	present	introduced	Transport - stowaway: Ship/boat hull fouling	
11005	DENMARK	Danish Wadden Sea	DK	present	introduced		
11006	DENMARK	Danish Wadden Sea	DK	present	introduced	Unaided: Natural dispersal across borders	
11007	DENMARK	Danish Wadden Sea	DK	present	introduced	Corridors: Interconnected waterways/basins/seas	
11008	DENMARK	Danish Wadden Sea	DK	present	introduced	Transport - stowaway: Angling/fishing aquaculture equipment	
11009	DENMARK	Danish Wadden Sea	DK	present	introduced	Transport - stowaway: Angling/fishing aquaculture equipment	
11010	DENMARK	Danish Wadden Sea	DK	present	introduced	Unaided: Natural dispersal across borders	
11011	DENMARK	Danish Wadden Sea	DK	present	introduced	Unaided: Natural dispersal across borders	
11012	DENMARK	Danish Wadden Sea	DK	present	introduced	Unaided: Natural dispersal across borders	1912
11013	DENMARK	Danish Wadden Sea	DK	present	introduced	Transport - stowaway: Ship/boat ballast water	
11014	DENMARK	Danish Wadden Sea	DK	present	introduced	Unaided: Natural dispersal across borders	
11015	DENMARK	Danish Wadden Sea	DK	present	introduced	Unaided: Natural dispersal across borders	
11016	DENMARK	Danish Wadden Sea	DK	present	introduced	Unaided: Natural dispersal across borders	
11017	DENMARK	Danish Wadden Sea	DK	present	introduced	Unaided: Natural dispersal across borders	
11018	DENMARK	Danish Wadden Sea	DK	present	introduced	Transport - stowaway: Ship/boat ballast water	
11019	DENMARK	Danish Wadden Sea	DK	present	introduced		
11020	DENMARK	Danish Wadden Sea	DK	present	introduced	Unaided: Natural dispersal across borders	
11021	DENMARK	Danish Wadden Sea	DK	present	introduced	Transport - stowaway: Ship/boat hull fouling	
11022	DENMARK	Danish Wadden Sea	DK	present	introduced	Unaided: Natural dispersal across borders	
11023	DENMARK	Danish Wadden Sea	DK	present	introduced	Transport - stowaway: Angling/fishing aquaculture equipment	
11024	DENMARK	Danish Wadden Sea	DK	present	introduced		
11025	DENMARK	Danish Wadden Sea	DK	present	introduced		
11026	DENMARK	Danish Wadden Sea	DK	present	introduced	Transport - stowaway: Ship/boat hull fouling	
11027	DENMARK	Danish Wadden Sea	DK	present	introduced	Unaided: Natural dispersal across borders	
11028	DENMARK	Danish Wadden Sea	DK	present	introduced		
11029	GERMANY	German Wadden Sea	DE	present	introduced	Transport - stowaway: Ship/boat hull fouling	
11030	GERMANY	German Wadden Sea	DE	present	introduced	Unaided: Natural dispersal across borders	
11031	GERMANY	German Wadden Sea	DE	present	introduced	Unaided: Natural dispersal across borders	
11032	GERMANY	German Wadden Sea	DE	present	introduced	Transport - stowaway: Ship/boat hull fouling	
11033	GERMANY	German Wadden Sea	DE	present	introduced	Unaided: Natural dispersal across borders	
11034	GERMANY	German Wadden Sea	DE	present	introduced	Transport - stowaway: Ship/boat hull fouling	
11035	GERMANY	German Wadden Sea	DE	present	introduced	Transport - stowaway: Ship/boat hull fouling	
11036	GERMANY	German Wadden Sea	DE	present	introduced	Unaided: Natural dispersal across borders	
11037	GERMANY	German Wadden Sea	DE	present	introduced		
11038	GERMANY	German Wadden Sea	DE	present	introduced	Unaided: Natural dispersal across borders	
11039	GERMANY	German Wadden Sea	DE	present	introduced	Transport - stowaway: Ship/boat hull fouling	
11040	GERMANY	German Wadden Sea	DE	present	introduced	Unaided: Natural dispersal across borders	
11041	GERMANY	German Wadden Sea	DE	present	introduced	Unaided: Natural dispersal across borders	
11042	GERMANY	German Wadden Sea	DE	present	introduced	Transport - stowaway: Ship/boat hull fouling	
11043	GERMANY	German Wadden Sea	DE	present	introduced	Transport - stowaway: Ship/boat hull fouling	
11044	GERMANY	German Wadden Sea	DE	present	introduced	Transport - stowaway: Ship/boat hull fouling	
